id,name,description
110051202,靈魂再生,[ffbb00]亡者召還[-] 3[ENDL][ffbb00]爆能強化[-] 8；額外發動[ffbb00]亡者召還[-] 5
110051203,來自深淵的誘惑,破壞1個敵方的從者。[ENDL][ffbb00]死靈術[-] 4；召喚1個[ffbb00]巫妖[-]到戰場上。
110052101,白骨奇美拉,[ffbb00]謝幕曲[-] 召喚2個[ffbb00]骷髏士兵[-]到戰場上。
110052102,地獄獻祭者,[ffbb00]謝幕曲[-] 召喚1個[ffbb00]巫妖[-]到戰場上。
110052103,死靈暗殺者,[ffbb00]入場曲[-] 如果自己的戰場上有其他從者，則會破壞1個自己的其他從者與隨機1個敵方的從者。
910051101,怨靈,[ffbb00]疾馳[-][ENDL]離場或自己的回合結束時，使這個從者消失。
910051102,骷髏士兵,none
910051103,殭屍,none
910051104,巫妖,none
-Vampire-,------,---------------
110061101,影魔,[ffbb00]入場曲[-] 給予雙方的主戰者1點傷害。
110061102,小惡魔,[ffbb00]入場曲[-] 召喚1個[ffbb00]叢林蝙蝠[-]到戰場上。
110061103,狂牙巨蛇,[ffbb00]守護[-][ENDL][ffbb00]謝幕曲[-] 回復自己的主戰者2點生命值。
110061104,暗魔女將,[ffbb00]入場曲[-] 如果[ffbb00]復仇[-]狀態已發動，則會獲得[ffbb00]疾馳[-]效果。
110061105,惡魔追獵者,[ffbb00]疾馳[-]
110061201,血之契約,給予自己的主戰者2點傷害。[ENDL]抽取2張卡片。
110061202,利爪的一擊,給予自己的主戰者2點傷害。[ENDL]給予敵方的主戰者或1個敵方的從者3點傷害。
110061203,從魔召喚,召喚2個[ffbb00]叢林蝙蝠[-]到戰場上。
110062101,午夜的吸血鬼,[ffbb00]入場曲[-] 給予自己的[ffbb00]叢林蝙蝠[-]全體+1/+0效果。
110062102,狼魂吸血鬼,none
110062201,縛命之鎖,給予雙方的主戰者1點傷害。[ENDL]給予1個敵方的從者3點傷害。
910061101,叢林蝙蝠,none
910061102,毒蛇,none
-Bishop--,------,---------------
110071101,蛇神女祭司,[ffbb00]守護[-]
110071102,兔耳治癒師,[ffbb00]入場曲[-] 回復自己的主戰者或1個自己的從者2點生命值。
110071103,見習修女,[ffbb00]入場曲[-] 使1個自己的護符減少1回合[ffbb00]倒數[-]。
110071201,崇高的教義,使1個自己的護符減少2回合[ffbb00]倒數[-]。[ENDL]抽取1張卡片。
110071202,漆黑法典,使1個生命值為3以下的敵方從者消失。
110071203,僧侶的聖水,回復自己的主戰者或1個自己的從者2點生命值。[ENDL]抽取1張卡片。
110071204,破邪聖光,使1個敵方的從者消失。[ENDL]回復自己的主戰者與「該從者的生命值」等量的生命值。
110071301,詠唱：神聖祈願,[ffbb00]倒數[-] 3[ENDL][ffbb00]謝幕曲[-] 抽取2張卡片。
110072101,聖之光稜牧師,[ffbb00]入場曲[-] 隨機將1張有[ffbb00]倒數[-]效果的護符卡，由自己的牌堆抽取到手牌中。
110072102,持矛鎚的僧侶,none
110072301,詠唱：野獸公主的呼喚,[ffbb00]倒數[-] 3[ENDL][ffbb00]謝幕曲[-] 召喚1個[ffbb00]聖炎猛虎[-]與1個[ffbb00]神聖獵鷹[-]到戰場上。
910071101,貝卡薩斯,none
910071102,聖炎猛虎,none
910071103,聖翼的白龍,none
910071104,神聖獵鷹,[ffbb00]疾馳[-]
910071105,壯麗大神隼,[ffbb00]疾馳[-]
910071106,金剛神鷹,[ffbb00]突進[-]
910071107,七彩寶石龜,none
910071108,聖獸白虎,[ffbb00]守護[-][ENDL][ffbb00]靈氣[-]
910071109,巴隆,[ffbb00]守護[-][ENDL][ffbb00]靈氣[-]
-Nemesis-,------,---------------
110081101,魔鐵狂獅,[ffbb00]入場曲[-] 增加2張[ffbb00]解析的創造物[-]到牌堆中。
110081102,熊偶少女,[ffbb00]入場曲[-] [ffbb00]爆能強化[-] 4；獲得+1/+1效果。增加1張[ffbb00]懸絲傀儡[-]到手牌中。
110081103,肉球砲擊手,[ffbb00]突進[-][ENDL][ffbb00]入場曲[-] 增加2張[ffbb00]古老的創造物[-]到牌堆中。
110081104,鐵杖機械士,[ffbb00]守護[-][ENDL][ffbb00]入場曲[-] 增加2張[ffbb00]神秘的創造物[-]到牌堆中。
110081105,廢棄物,[ffbb00]入場曲[-] [ffbb00]謝幕曲[-] 增加1張[ffbb00]懸絲傀儡[-]到手牌中。
110081106,鋼鐵拳鬥士,[ffbb00]入場曲[-] 增加2張[ffbb00]絢爛的創造物[-]到牌堆中。
110081201,次元斷,給予1個敵方的從者3點傷害。[ENDL]如果[ffbb00]共鳴[-]狀態已發動，則會轉變為5點傷害。
110081301,靜謐的齒輪,[ffbb00]倒數[-] 3[ENDL][ffbb00]入場曲[-] 如果[ffbb00]共鳴[-]狀態已發動，則會抽取2張卡片。否則轉變為抽取1張卡片。[ENDL][ffbb00]謝幕曲[-] 如果[ffbb00]共鳴[-]狀態已發動，則會抽取1張卡片。否則轉變為抽取2張卡片。
110082101,伊卡洛斯,[ffbb00]入場曲[-] 增加2張[ffbb00]古老的創造物[-]到牌堆中。
110082102,狂熱的機械兵,[ffbb00]入場曲[-] 隨機將1張創造物卡，由自己的牌堆抽取到手牌中。
110082201,創造術,增加1張[ffbb00]解析的創造物[-]到牌堆中。[ENDL]自己的回合結束時，抽取1張卡片。
910081101,懸絲傀儡,[ffbb00]突進[-][ENDL]敵方的回合結束時，破壞這個從者。
910081102,改良型‧懸絲傀儡,[ffbb00]突進[-][ENDL]敵方的回合結束時，破壞這個從者。[ENDL]※此卡片與[ffbb00]懸絲傀儡[-]視為同一張卡片。
910081103,解析的創造物,[ffbb00]謝幕曲[-] 抽取1張卡片。
910081104,古老的創造物,[ffbb00]突進[-]
910081105,神秘的創造物,[ffbb00]守護[-][ENDL][ffbb00]入場曲[-] 抽取1張卡片。
910081106,絢爛的創造物,[ffbb00]疾馳[-][ENDL][ffbb00]謝幕曲[-] 如果這個回合是自己的回合，則會隨機將1張創造物卡，由自己的牌堆抽取到手牌中。如果是敵方的回合，則會抽取1張卡片。
---------,------,---------------(Pack 100 / Evolved)
110001901,哥布林,none
110001902,治癒天使,none
110003901,烏列爾,none
110003902,風神,自己的回合開始時，給予自己的從者全體+1/+0效果。
---Elf---,------,---------------
110011901,水之妖精,[ffbb00]謝幕曲[-] 增加1張[ffbb00]妖精[-]到手牌中。
110011902,精靈女孩‧小梅,none
110011903,神奇的精靈法師,none
110011904,巨狼,每當從者進入自己的戰場時，獲得+1/+0效果。
110011905,妖精騎士,[ffbb00]突進[-]
110012901,魔法精靈公主,[ffbb00]進化時[-] 增加2張[ffbb00]妖精[-]到手牌中，並使其消費轉變為0。
110012902,森之巨人,none
910011901,妖精,none
--Royal--,------,---------------
110021901,迅捷的劍士,[ffbb00]疾馳[-]
110021902,背水一戰的騎士,none
110021903,身經百戰的長槍兵,[ffbb00]守護[-]
110021904,見習騎兵,[ffbb00]疾馳[-]
110021905,女忍者大師,[ffbb00]潛行[-]
110021906,角冠之王,[ffbb00]攻擊時[-] 給予敵方的從者全體1點傷害。
110022901,女僕事務長,none
110022902,華麗的花園劍士,[ffbb00]進化時[-] 召喚1個[ffbb00]鐵甲騎士[-]與1個[ffbb00]騎士[-]到戰場上。
910021901,騎士,none
910021902,重裝騎士,none
910021903,戰盾衛士,[ffbb00]守護[-]
910021904,鐵甲騎士,none
910021905,女忍者學徒,[ffbb00]潛行[-]
--Witch--,------,---------------
110031901,天輪巨像,none
110031902,劍刃魔法師,[ffbb00]疾馳[-]
110032901,魔炎毀滅者,none
910031901,雪人,none
910031902,泥塵巨像,none
910031903,守護者巨像,[ffbb00]守護[-]
-Dragon--,------,---------------
110041901,銀白幼龍,none
110041902,暴嵐的巨龍,none
110041903,藍海仙靈,none
110041904,海劍龍,none
110041905,龍騎士守護者,none
110042901,翼龍騎士‧葉花,[ffbb00]威壓[-]
910041901,熾炎幼龍,[ffbb00]謝幕曲[-] 隨機給予1個敵方的從者1點傷害。
910041902,虎鯨,none
910041903,飛龍,none
910041904,風暴巨龍,[ffbb00]疾馳[-]
910041905,地獄火魔龍,[ffbb00]突進[-]
--Necro--,------,---------------
110051901,骸骨獸,[ffbb00]謝幕曲[-] 使自己的墓場+1。
110051902,亡骨寡婦,[ffbb00]謝幕曲[-] 抽取1張卡片。
110051903,惡魔獵食者,none
110051904,陰鬱的死靈術師,none
110051905,兔靈邪法師,[ffbb00]謝幕曲[-] 給予敵方的主戰者2點傷害。
110052901,白骨奇美拉,[ffbb00]謝幕曲[-] 召喚2個[ffbb00]骷髏士兵[-]到戰場上。
110052902,地獄獻祭者,[ffbb00]謝幕曲[-] 召喚1個[ffbb00]巫妖[-]到戰場上。
110052903,死靈暗殺者,none
910051901,怨靈,[ffbb00]疾馳[-][ENDL]離場或自己的回合結束時，使這個從者消失。
910051902,骷髏士兵,none
910051903,殭屍,none
910051904,巫妖,none
-Vampire-,------,---------------
110061901,影魔,none
110061902,小惡魔,none
110061903,狂牙巨蛇,[ffbb00]守護[-][ENDL][ffbb00]謝幕曲[-] 回復自己的主戰者2點生命值。
110061904,暗魔女將,none
110061905,惡魔追獵者,[ffbb00]疾馳[-]
110062901,午夜的吸血鬼,none
110062902,狼魂吸血鬼,[ffbb00]進化時[-] 給予雙方的主戰者3點傷害。
910061901,叢林蝙蝠,none
910061902,毒蛇,none
-Bishop--,------,---------------
110071901,蛇神女祭司,[ffbb00]守護[-]
110071902,兔耳治癒師,none
110071903,見習修女,none
110072901,聖之光稜牧師,none
110072902,持矛鎚的僧侶,[ffbb00]進化時[-] 使1個生命值為3以下的敵方從者消失。
910071901,貝卡薩斯,none
910071902,聖炎猛虎,none
910071903,聖翼的白龍,none
910071904,神聖獵鷹,[ffbb00]疾馳[-]
910071905,壯麗大神隼,[ffbb00]疾馳[-]
910071906,金剛神鷹,[ffbb00]突進[-]
910071907,七彩寶石龜,none
910071908,聖獸白虎,[ffbb00]守護[-][ENDL][ffbb00]靈氣[-]
910071909,巴隆,[ffbb00]守護[-][ENDL][ffbb00]靈氣[-]
-Nemesis-,------,---------------
110081901,魔鐵狂獅,none
110081902,熊偶少女,none
110081903,肉球砲擊手,[ffbb00]突進[-]
110081904,鐵杖機械士,[ffbb00]守護[-]
110081905,廢棄物,[ffbb00]謝幕曲[-] 增加1張[ffbb00]懸絲傀儡[-]到手牌中。
110081906,鋼鐵拳鬥士,none
110082901,伊卡洛斯,[ffbb00]進化時[-] 隨機將1張創造物卡，由自己的牌堆抽取到手牌中。
110082902,狂熱的機械兵,none
910081901,懸絲傀儡,[ffbb00]突進[-][ENDL]敵方的回合結束時，破壞這個從者。
910081902,改良型‧懸絲傀儡,[ffbb00]突進[-][ENDL]敵方的回合結束時，破壞這個從者。
910081903,解析的創造物,[ffbb00]謝幕曲[-] 抽取1張卡片。
910081904,古老的創造物,[ffbb00]突進[-]
910081905,神秘的創造物,[ffbb00]守護[-]
910081906,絢爛的創造物,[ffbb00]疾馳[-][ENDL][ffbb00]謝幕曲[-] 如果這個回合是自己的回合，則會隨機將1張創造物卡，由自己的牌堆抽取到手牌中。如果是敵方的回合，則會抽取1張卡片。
---------,------,---------------(Pack 101 / Normal)
110101101,和平的促進者,[ffbb00]守護[-][ENDL][ffbb00]入場曲[-] [ffbb00]爆能強化[-] 5；召喚1個[ffbb00]和平的促進者[-]到戰場上。
110101102,狡猾的陷阱師,none
110101103,親切的廚師,自己的回合結束時，回復自己的主戰者3點生命值。
110101104,虛無的魔獸,[ffbb00]攻擊時[-] 給予敵方的主戰者與敵方的從者全體2點傷害。
110101201,命運之手,給予1個戰場上的從者+1/+0與1點傷害。
110101202,哥布林亂揮,隨機給予1個敵方的從者2點傷害。[ENDL]隨後，如果敵方戰場上的從者數多於自己，則會召喚1個[ffbb00]哥布林[-]到戰場上。
110101301,命運之泉,[ffbb00]入場曲[-]與自己的回合開始時，隨機給予1個自己的從者+1/+1效果。
110102101,光耀弗雷德,none
110102102,魅影指揮,[ffbb00]潛行[-][ENDL][ffbb00]入場曲[-] 給予1個自己的其他從者+1/+0效果。
110102103,魔法食材商人,[ffbb00]入場曲[-] 給予1張自己手牌中的從者卡[ffbb00]突進[-]與「[ffbb00]謝幕曲[-] 抽取1張卡片」效果。
110102104,羽翼掠奪者,[ffbb00]入場曲[-] 捨棄全部手牌。召喚1個[ffbb00]羽翼掠奪者[-]到戰場上。
110102105,哥布林重裝騎士,[ffbb00]守護[-][ENDL][ffbb00]入場曲[-] 給予敵方的主戰者或1個敵方的從者6點傷害。
110102201,裁決天秤,由「抽取3張卡片」、「隨機使1個自己未進化的從者進化」之中，隨機發動1種能力。
110102202,處決,破壞1個敵方的從者或1個敵方的護符。
110102301,虛無的牽引,[ffbb00]倒數[-] 2[ENDL][ffbb00]入場曲[-] 使1張手牌中的卡片消失。增加1張與之同名的卡片到牌堆中。抽取1張卡片。[ENDL][ffbb00]謝幕曲[-] 隨機破壞1個敵方的從者。
110103101,地圖繪製者,[ffbb00]入場曲[-] [ffbb00]漫遊[-]；卡片。
110103102,翱翔之翼‧撒哈利爾,不消費EP即可進化。
110103103,穹威大天使‧提斯弗雷,[ffbb00]靈氣[-][ENDL][ffbb00]謝幕曲[-] 如果自己的手牌數多於敵方，則會回復自己的主戰者4點生命值。如果少於敵方，則會抽取2張卡片。 
110103104,威震的半獸人,[ffbb00]入場曲[-] 給予敵方的主戰者與敵方的從者全體4點傷害。
110103201,進化的光輝,給予1個自己進化後的從者「[ffbb00]交戰時[-] 回復自己的主戰者1點生命值。抽取1張卡片」效果。
110103301,原初混沌,[ffbb00]倒數[-] 2[ENDL][ffbb00]入場曲[-] 增加1張[ffbb00]原初之光[-]與1張[ffbb00]原初之闇[-]到牌堆中。[ENDL][ffbb00]謝幕曲[-] 隨機給予2個敵方的從者1點傷害。
110104101,傳奇哥布林,[ffbb00]入場曲[-] 如果自己戰場上的其他中立卡片數為2張以上，則會獲得[ffbb00]必殺[-]效果。如果為4張以上，則會額外使這個從者進化。[ENDL][ENDL]※此卡片與[ffbb00]哥布林[-]視為同一張卡片。
110104102,輝闇雙生‧路西法,none
110104103,威嚴騎士長‧維克諾德,[ffbb00]突進[-][ENDL][ffbb00]守護[-][ENDL][ffbb00]入場曲[-] 召喚1個[ffbb00]騎士長的勝利之劍[-]與1個[ffbb00]騎士長的不敗之盾[-]到戰場上。
510101201,寶石之光,使1張自己的手牌消失。[ENDL]如果自己的主戰者職業為中立，則會發動[ffbb00]漫遊[-]；2張名稱各不相同的卡片。否則發動[ffbb00]漫遊[-]；2張與自己的主戰者職業相同且名稱各不相同的卡片。
510103201,水晶之耀,使1張自己的手牌消失。[ENDL]如果自己的主戰者職業為中立，則會發動[ffbb00]漫遊[-]；2張名稱各不相同的黃金卡與傳說卡。否則發動[ffbb00]漫遊[-]；2張與自己的主戰者職業相同且名稱各不相同的黃金卡與傳說卡。
810102201,激奏：哥布林重裝騎士,召喚2個[ffbb00]哥布林[-]到戰場上。
810104201,激奏：威嚴騎士長‧維克諾德,由[ffbb00]騎士長的勝利之劍[-]與[ffbb00]騎士長的不敗之盾[-]之中，隨機召喚1個到戰場上。
910103101,原初之光,當自己使用闇卡片時，到回合結束為止，使手牌中的這張卡片消費轉變為2。[ENDL]------[ENDL][ffbb00]守護[-][ENDL][ffbb00]入場曲[-] 回復雙方的主戰者2點生命值。使雙方各抽取1張卡片。
910103102,原初之闇,當自己使用光卡片時，到回合結束為止，使手牌中的這張卡片消費轉變為2。[ENDL]------[ENDL][ffbb00]突進[-][ENDL][ffbb00]入場曲[-] 捨棄1張手牌。獲得[ffbb00]必殺[-]效果。
910104301,騎士長的勝利之劍,當自己的從者攻擊時，給予1個該從者+2/+0效果，並破壞此護符。
910104302,騎士長的不敗之盾,當自己的從者交戰時，給予1個該從者+0/+2效果，並破壞此護符。
---------,------,---------------(Pack 101 / Evolve)
110101901,和平的促進者,[ffbb00]守護[-]
110101902,狡猾的陷阱師,[ffbb00]進化時[-] 破壞1個為已攻擊狀態的敵方從者。
110101903,親切的廚師,自己的回合結束時，回復自己的主戰者3點生命值。
110101904,虛無的魔獸,[ffbb00]攻擊時[-] 給予敵方的主戰者與敵方的從者全體2點傷害。
110102901,光耀弗雷德,[ffbb00]進化時[-] 給予1個敵方的從者1點傷害。如果自己的手牌數多於敵方，則會額外給予敵方的主戰者1點傷害。如果少於敵方，則會抽取1張卡片。
110102902,魅影指揮,[ffbb00]潛行[-]
110102903,魔法食材商人,none
110102904,羽翼掠奪者,none
110102905,哥布林重裝騎士,[ffbb00]守護[-]
110103901,地圖繪製者,none
110103902,翱翔之翼‧撒哈利爾,[ffbb00]進化時[-] 使1張手牌中原始消費為5以下的從者卡進入戰場，並給予該從者[ffbb00]突進[-]與「自己的回合結束時，使這個從者返回手牌」效果。
110103903,穹威大天使‧提斯弗雷,[ffbb00]靈氣[-][ENDL][ffbb00]謝幕曲[-] 如果自己的手牌數多於敵方，則會回復自己的主戰者4點生命值。如果少於敵方，則會抽取2張卡片。 
110103904,威震的半獸人,none
110104901,傳奇哥布林,none
110104902,輝闇雙生‧路西法,[ffbb00]進化時[-] 隨機將1張光從者卡與1張闇從者卡，由自己的牌堆抽取到手牌中。
110104903,威嚴騎士長‧維克諾德,[ffbb00]突進[-][ENDL][ffbb00]守護[-]
910103901,原初之光,[ffbb00]守護[-]
910103902,原初之闇,[ffbb00]突進[-]
